lecturer,date
H. Asep Kusmayadi,01-03-2024
H. Nur Hasan,02-03-2024
TBC,03-03-2024
Ustadz Dede Misbahul Aziz,04-03-2024
H. Rakiman,05-03-2024
H. Ramly Napu,06-03-2024
Ustadz Heru Nugraha,07-03-2024
Jum'at H. Budi Pujianto,08-03-2024
H. M. Suhairi Wahab,09-03-2024
Al-Ustadz H. Lili El Jumali S. Ag,10-03-2024
Ustadz Dede Misbahul Aziz,11-03-2024
H. Awan Nasution,12-03-2024
Faisal Muttaqien,13-03-2024
Muhammad Juanda,14-03-2024
Jum'at H. Kuswandani R. Adibyo,15-03-2024
H. Syamsu Hudaya,16-03-2024
KH. Athian Ali M Da'I. LC. MA,17-03-2024
Ustadz Dede Misbahul Aziz,18-03-2024
Sclasa H. Nandana Pawitra,19-03-2024
H. Asep Kusmayadi,20-03-2024
H. Nur Hasan,21-03-2024
Jum'at Ustadz Heru Nugraha,22-03-2024
H. Djusep Sukriatno,23-03-2024
Ustadz. H. Rizal Fadillah SH,24-03-2024
Ustadz Dede Misbahul Aziz,25-03-2024
Muhammad Juanda,26-03-2024
H. Kuswandani R. Adibyo,27-03-2024
Faisal Muttagien,28-03-2024
Jum'at Ir. Rahmatullah Arrizal,29-03-2024
Ustadz Dede Misbahul Aziz,30-03-2024
TBC,31-03-2024